,BTC/USDT,ETH/USDT,XRP/USDT,LTC/USDT,LINK/USDT,DOGE/USDT,TRX/USDT,BCH/USDT,XMR/USDT,EOS/USDT
1834,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(2, 1, 2)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 0)","(2, 1, 2)"
1835,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(2, 1, 2)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)"
1836,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)"
1837,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)"
1838,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)"
1839,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(2, 1, 2)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)"
1840,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(1, 0, 0)","(0, 1, 0)"
1841,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(0, 1, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1842,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1843,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(0, 1, 0)","(0, 1, 0)","(0, 1, 0)"
1844,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(2, 1, 2)","(1, 0, 0)","(1, 1, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)"
1845,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(2, 1, 2)","(1, 0, 0)","(1, 1, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)"
1846,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(2, 1, 2)","(1, 0, 0)","(1, 1, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)"
1847,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)"
1848,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)"
1849,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(2, 1, 2)","(1, 0, 0)","(1, 1, 0)","(1, 0, 0)","(0, 1, 2)","(0, 1, 0)"
1850,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(2, 1, 2)","(1, 0, 0)","(1, 1, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)"
1851,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(0, 1, 0)","(1, 0, 0)","(1, 1, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)"
1852,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(2, 1, 2)","(1, 0, 0)","(1, 1, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 0)"
1853,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(1, 0, 0)","(1, 0, 0)","(1, 1, 0)","(1, 0, 0)","(0, 1, 2)","(1, 0, 0)"
1854,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(1, 1, 0)","(0, 1, 0)","(0, 1, 2)","(2, 0, 0)"
1855,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 3)","(0, 1, 0)","(0, 1, 2)","(2, 0, 0)"
1856,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(0, 1, 3)","(0, 1, 0)","(0, 1, 0)","(2, 0, 0)"
1857,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(1, 1, 1)","(1, 1, 0)","(0, 1, 2)","(2, 0, 0)"
1858,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(1, 1, 1)","(1, 1, 0)","(0, 1, 2)","(2, 0, 0)"
1859,"(0, 1, 0)","(0, 1, 0)","(1, 1, 1)","(1, 0, 0)","(1, 0, 0)","(0, 1, 0)","(1, 1, 1)","(1, 1, 0)","(0, 1, 2)","(2, 0, 0)"
